Company,Breakdown,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,Research & Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Unusual Items Excluding Goodwill,Total Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings
Broadcom Inc.,10/30/2021,"27,450,000",,"10,606,000","16,844,000","8,177,000",,,"8,667,000","-1,869,000",,,"-33,000",,"6,765,000","29,000","6,437,000",,,,"6,437,000",15.66,14.96,"411,028","430,075","8,519,000","18,783,000","6,736,000","6,784,804","16,000","1,885,000","-1,869,000","8,650,000",-,"6,541,000","6,041,000","6,736,000","14,740,000",0,-196,"-49,000","-49,000",,
Broadcom Inc.,10/30/2020,"23,888,000",,"10,372,000","13,516,000","9,304,000",,,"4,212,000","-1,724,000",,,"-45,000",,"2,443,000","-518,000","2,663,000",,,,"2,663,000",6.60,6.31,"403,008","422,055","4,014,000","19,676,000","2,960,000","2,998,230","53,000","1,777,000","-1,724,000","4,220,000",-,"5,868,000","6,905,000","2,961,000","11,176,000",0,"-13,770","-51,000","-51,000",,
Broadcom Inc.,10/30/2019,"22,597,000",,"10,114,000","12,483,000","8,303,000",,,"4,180,000","-1,346,000",,,"-608,000",,"2,226,000","-510,000","2,695,000",,,,"2,695,000",6.77,6.43,"398,000","419,000","3,444,000","18,417,000","2,724,000","3,191,661","98,000","1,444,000","-1,346,000","3,670,000",-,"6,204,000","5,808,000","2,736,000","10,069,000",0,"-135,339","-591,000","-591,000",,
ASML Holding N.V.,ttm,"21,173,400",,"10,473,300","10,700,100","4,199,400",,,"6,500,700","-44,600",,,-,,"6,456,100","969,900","5,624,200",,,,"5,624,200",-,-,-,-,"6,500,700","14,672,700","5,486,200","5,486,200","16,200","60,800","-44,600","6,500,700","7,084,300","10,473,300","583,600","5,486,200","7,084,300",0,0,,,"138,000",
ASML Holding N.V.,12/31/2022,"21,173,400",,"10,473,300","10,700,100","4,199,400",,,"6,500,700","-44,600",,,-,,"6,456,100","969,900","5,624,200",,,,"5,624,200",-,-,-,-,"6,500,700","14,672,700","5,624,200","5,624,200","16,200","60,800","-44,600","6,516,900",-,"10,473,300","583,600","5,624,200","7,100,500",0,0,,,"138,000",
ASML Holding N.V.,12/31/2021,"18,611,000",,"8,802,000","9,809,000","3,272,600",,,"6,536,400","-44,600",,,"213,700",,"6,705,500","1,021,400","5,883,200",,,,"5,883,200",14.36,14.34,"409,800","410,400","6,750,100","12,074,600","5,883,200","5,883,200","10,000","54,600","-44,600","6,760,100",-,"8,802,000","471,000","5,883,200","7,231,100",0,0,,,"199,100",
ASML Holding N.V.,12/31/2020,"13,978,500",,"7,181,300","6,797,200","2,745,700",,,"4,051,500","-34,900",,,-,,"4,016,600","551,500","3,553,700",,,,"3,553,700",8.49,8.48,"418,300","419,100","4,051,500","9,927,000","3,553,700","3,553,700","8,400","43,400","-34,900","4,051,500",-,"7,181,300","490,800","3,553,700","4,542,300",0,0,,,"88,600",
ASML Holding N.V.,12/31/2019,"11,820,000",,"6,540,200","5,279,800","2,489,000",,,"2,790,800","-25,000",,,-,,"2,765,800","191,700","2,592,300",,,,"2,592,300",6.13,6.12,"420,800","421,600","2,790,800","9,029,200","2,574,100","2,574,100","11,600","36,600","-25,000","2,790,800",-,"6,540,200","448,500","2,574,100","3,239,300",0,0,,,-,
Oracle Corporation,ttm,"47,958,000",,"12,231,000","35,727,000","21,744,000",,,"13,983,000","-3,036,000",,,"-1,306,000",,"9,641,000","1,268,000","8,373,000",,,,"8,373,000",-,-,-,-,"13,455,000","33,975,000","8,373,000","9,290,982","218,000","3,254,000","-3,036,000","12,895,000","18,248,000","9,858,000","5,353,000","8,373,000","19,305,000",0,"-139,018","-1,057,000","-1,057,000",,
Oracle Corporation,5/31/2022,"42,440,000",,"8,877,000","33,563,000","22,427,000",,,"11,136,000","-2,661,000",,,"-826,000",,"7,649,000","932,000","6,717,000",,,,"6,717,000",2.49,2.41,"2,700,000","2,786,000","10,926,000","31,304,000","6,717,000","7,205,168","94,000","2,755,000","-2,661,000","10,404,000",-,"6,905,000","3,122,000","6,717,000","14,082,000",0,"-67,832","-556,000","-556,000",,
