Company,Breakdown,Total Assets,Current Assets,"Cash, Cash Equivalents & Short Term Investments",Cash And Cash Equivalents,Cash,Cash Equivalents,Other Short Term Investments,Receivables,Accounts receivable,Other Receivables,Inventory,Other Current Assets,Total non-current assets,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Investments And Advances,Investment in Financial Assets,Available for Sale Securities,Other Investments,Other Non Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Current Deferred Liabilities,Current Deferred Revenue,Other Current Liabilities,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Debt,Tradeand Other Payables Non Current,Other Non Current Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Gross Accounts Receivable,Allowance For Doubtful Accounts Receivable,Raw Materials,Work in Process,Finished Goods,Hedging Assets Current,Buildings And Improvements,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Long Term Equity Investment,Total Tax Payable,Income Tax Payable,Pension & Other Post Retirement Benefit Plans Current,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Capital Lease Obligations,Prepaid Assets,Construction in Progress,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Prepaid Assets,Other Payable,Current Accrued Expenses,Interest Payable,Current Capital Lease Obligation,Employee Benefits,Preferred Stock,Additional Paid in Capital,Treasury Stock,Treasury Shares Number,Notes Receivable,Due from Related Parties Current,Receivables Adjustments Allowances,Investments in Associatesat Cost,Held To Maturity Securities,Dividends Payable,Due to Related Parties Current,Non Current Pension And Other Post-Retirement Benefit Plans,Other Equity Adjustments,Other Equity Interest,Minority Interest,Preferred Stock Equity,Preferred Shares Number,Taxes Receivable,Inventories Adjustments Allowances,Assets Held for Sale Current,Financial Assets,Non Current Accounts Receivable,Non Current Note Receivables,Defined Pension Benefit,Non Current Accrued Expenses,Derivative Product Liabilities,Loans Receivable,Other Inventories,Current Deferred Assets,Current Provisions,Long Term Provisions,Investments in Other Ventures Under Equity Method,Preferred Securities Outside Stock Equity,Liabilities Held for Sale Non Current,Restricted Cash,Line of Credit,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments
"Advanced Micro Devices, Inc.",12/30/2020,"8,962,000","6,143,000","2,290,000","1,595,000",-,-,"695,000","2,076,000","2,066,000",,"1,399,000","378,000","2,819,000","849,000","1,761,000",0,-,"1,209,000","208,000","-912,000","63,000",,,,"144,000","3,125,000","2,417,000","1,829,000","546,000","468,000",-,-,,-,-,-,"75,000","708,000","531,000","330,000",,"177,000","5,837,000","5,837,000","12,000","12,000","-4,605,000","17,000","6,167,000","5,837,000","5,319,000","3,726,000","6,167,000","5,319,000","531,000",,"1,217,000","1,211,000",,,"93,000","1,139,000","167,000",,"208,000","208,000","518,000","289,000","229,000","63,000",,,"513,000","201,000",-,-,,"201,000","378,000","136,000","1,245,000","1,245,000",-,,"1,283,000",,-,,,"10,544,000","131,000","6,000",,"10,000",,,,,"78,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",12/30/2019,"6,028,000","4,597,000","1,503,000","1,466,000","1,465,000","1,000","37,000","1,859,000","1,859,000",,"982,000","233,000","1,431,000","705,000","1,473,000",0,-,"951,000","203,000","-768,000","58,000",,,,"169,000","3,201,000","2,359,000","2,000,000","1,201,000","988,000","43,000",-,,-,"2,000","2,000","29,000","842,000","685,000","486,000",,"157,000","2,827,000","2,827,000","12,000","12,000","-7,095,000",0,"3,313,000","2,827,000","2,328,000","2,238,000","3,313,000","2,328,000","728,000",,"1,175,000","1,170,000",,,"94,000","691,000","197,000",,"203,000","205,000","499,000","289,000","210,000","58,000",,,"285,000","199,000",-,-,,"242,000","253,000","114,000",-,-,-,,"799,000",,"43,000",,,"9,963,000","53,000","5,000",,-,,,,,"213,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP SE,12/30/2022,"72,159,000","18,522,000","9,861,000","9,008,000","3,176,000","5,831,000","853,000","6,767,000","5,782,000","454,000",,"1,066,000","53,638,000","4,934,000","4,934,000",0,"1,585,000",,"1,758,000",,"5,289,000","5,289,000","5,289,000",,"3,024,000","29,311,000","17,453,000","3,091,000","3,091,000","2,146,000","4,333,000","3,984,000","928,000","3,056,000","5,309,000","5,309,000","474,000","11,858,000","8,752,000","6,961,000","972,000","796,000","42,848,000","40,186,000","1,229,000","1,229,000","36,418,000",,"47,147,000","40,186,000","3,245,000","1,069,000","51,131,000","3,245,000","13,085,000","1,937,000","1,228,518","1,167,118",,,,,,,,"1,449,000","36,941,000","33,106,000","3,835,000",,"945,000",-,"4,156,000","1,791,000","274,000","241,000","33,000","2,140,000","828,000","142,000","2,065,000","2,065,000","512,000",,,,"349,000","705,000",,"3,081,000","4,341,000","61,400",,,,,,,,,,"3,799,000","2,662,000",,,"531,000",,,"332,000","541,000",,,,0,,,,"90,000","359,000",,,,,,,,
SAP SE,12/30/2021,"71,169,000","20,044,000","11,656,000","8,898,000","3,149,000","5,748,000","2,758,000","6,974,000","5,887,000","465,000",,"826,000","51,125,000","4,977,000","4,977,000",0,"1,609,000",,"1,801,000",,"6,275,000","6,275,000","6,275,000",,"2,333,000","29,646,000","16,136,000","2,530,000","2,530,000","1,580,000","4,167,000","3,760,000","931,000","2,829,000","4,431,000","4,431,000","363,000","13,510,000","10,980,000","9,244,000","949,000","62,000","41,523,000","38,853,000","1,229,000","1,229,000","37,022,000",,"48,097,000","38,853,000","3,797,000","3,908,000","51,857,000","3,797,000","15,147,000","4,106,000","1,228,479","1,179,579",,,,,,,,"1,490,000","35,056,000","31,090,000","3,966,000",,"950,000",-,"4,556,000","1,736,000","304,000","291,000","13,000","2,143,000","588,000","77,000","1,779,000","1,779,000","242,000",,,,"407,000","860,000",,"1,918,000","3,072,000","48,900",,,,,,,,,,"1,756,000","2,670,000",,,"622,000",,,-,"463,000",,,,-,,,,"89,000","355,000",,,,,,,,
SAP SE,12/30/2020,"58,472,000","15,069,000","6,946,000","5,311,000","2,732,000","2,579,000","1,635,000","6,804,000","6,199,000","395,000",,"1,319,000","43,402,000","5,041,000","5,041,000",0,"1,457,000",,"1,816,000",,"3,512,000","3,512,000","3,512,000",,"1,925,000","28,544,000","12,842,000","1,627,000","1,627,000","1,213,000","1,482,000","1,482,000","930,000","552,000","4,150,000","4,150,000","5,510,000","15,702,000","11,801,000","11,801,000","765,000","2,574,000","29,928,000","29,717,000","1,229,000","1,229,000","32,026,000",,"41,518,000","29,717,000","-1,627,000","2,227,000","43,000,000","-1,627,000","13,283,000","7,972,000","1,228,479","1,179,579",,,,,,,,"1,727,000","31,344,000","27,560,000","3,784,000",,"414,000",-,-,-,"194,000","158,000","36,000",-,-,"41,000","1,173,000","1,173,000",-,,,,-,-,,"545,000","3,072,000","48,900",,,,,,,,,,"-1,011,000","211,000",,,"210,000",,,-,"407,000",,,,-,,,,"73,000","368,000",,,,,,,,
SAP SE,12/30/2019,"60,215,000","15,213,000","5,611,000","5,314,000","2,877,000","2,437,000","297,000","8,413,000","7,561,000","346,000",,"1,189,000","45,002,000","5,496,000","5,496,000",0,"1,537,000",,"1,929,000",,"2,336,000","2,336,000","2,336,000",,"1,702,000","29,393,000","14,462,000","1,836,000","1,836,000","1,581,000","2,531,000","2,531,000","1,100,000","1,431,000","4,266,000","4,266,000","5,561,000","14,931,000","11,139,000","11,139,000","546,000","2,597,000","30,822,000","30,746,000","1,229,000","1,229,000","28,783,000",,"41,885,000","30,746,000","-2,907,000","751,000","44,416,000","-2,907,000","13,670,000","8,356,000","1,228,550","1,193,650",,,,,,,,"1,994,000","33,653,000","29,162,000","4,491,000",,"255,000","255,000",-,-,"171,000","82,000","89,000",-,-,"36,000","1,251,000","1,251,000",-,,,,-,-,,"545,000","1,580,000","34,900",,,,,,,,,,"1,769,000","76,000",,,"506,000",,,-,"564,000",,,,-,,,,"268,000","478,000",,,,,,,,
Intel Corporation,12/30/2022,"182,103,000","50,407,000","28,338,000","11,144,000",,,"17,194,000","4,133,000","4,133,000",,"13,224,000","4,667,000","131,696,000","80,860,000","174,246,000","44,808,000",-,"92,711,000",,"-93,386,000","5,912,000","5,902,000","5,902,000",-,"11,315,000","78,817,000","32,155,000","20,604,000","11,846,000","9,595,000","4,323,000","4,323,000","3,900,000","423,000","2,400,000",,"744,000","46,662,000","37,684,000","37,684,000","3,796,000","4,980,000","103,286,000","101,423,000","31,580,000","31,580,000","70,405,000","-562,000","139,107,000","101,423,000","67,814,000","18,252,000","143,430,000","67,814,000","42,007,000","30,863,000","4,137,000","4,137,000",,,"1,517,000","7,565,000","4,142,000",,,,"33,609,000","27,591,000","6,018,000","10,000","2,251,000","2,251,000","4,084,000",,"202,000","202,000",-,,,"36,727,000",-,-,-,,"8,758,000",,,,0,,,,,,,,,,,,,-,"1,863,000",,,,,"45,000",-,-,,,,,,,,,,"10,000",-,,,,,,
Intel Corporation,12/30/2021,"168,406,000","57,718,000","28,413,000","4,827,000",,,"23,586,000","9,457,000","9,457,000",,"10,776,000","2,130,000","110,688,000","63,245,000","148,539,000","40,039,000",-,"86,955,000",,"-85,294,000","7,138,000",-,-,"840,000","6,072,000","73,015,000","27,462,000","18,336,000","5,747,000","5,747,000","4,591,000","4,591,000",-,-,-,,-,"45,553,000","33,510,000","33,510,000","4,305,000","4,886,000","95,391,000","95,391,000","28,006,000","28,006,000","68,265,000","-880,000","128,901,000","95,391,000","61,158,000","30,256,000","133,492,000","61,158,000","38,101,000","33,274,000","4,070,000","4,070,000",,,"1,441,000","6,656,000","2,679,000",,,,"34,233,000","26,963,000","7,270,000","6,298,000",-,-,"4,535,000",,"2,852,000","2,667,000","185,000",,,"21,545,000",-,-,-,,"12,589,000",,,,0,,,,,,,,,,,,,-,-,,,,,"6,942,000",-,-,,,,,,,,,,-,-,,,,,,
Intel Corporation,12/30/2020,"153,091,000","47,249,000","23,895,000","5,865,000",,,"18,030,000","6,782,000","6,782,000",,"8,427,000","2,745,000","105,842,000","56,584,000","134,229,000","37,536,000",-,"79,384,000",,"-77,645,000","7,344,000",-,-,"2,192,000","1,633,000","72,053,000","24,754,000","18,251,000","5,581,000","5,581,000","2,504,000","2,504,000",-,-,-,,-,"47,299,000","33,897,000","33,897,000","4,578,000","3,614,000","81,038,000","81,038,000","25,556,000","25,556,000","56,233,000","-751,000","114,935,000","81,038,000","45,041,000","22,495,000","117,439,000","45,041,000","36,401,000","30,536,000","4,062,000","4,062,000",,,"908,000","6,007,000","1,512,000",,,,"35,997,000","26,971,000","9,026,000","5,152,000",-,-,"3,999,000",,"5,210,000","3,843,000","1,367,000",,,"17,309,000","1,232,000","1,232,000","1,502,000",,"12,670,000",,,,0,,,,,,,,,,,,,-,-,,,,,"5,400,000","1,550,000",-,,,,,,,,,,-,0,,,,,,
Intel Corporation,12/30/2019,"136,524,000","31,239,000","13,123,000","4,194,000",,,"8,929,000","7,659,000","7,659,000",,"8,744,000","1,713,000","105,285,000","55,386,000","128,707,000","37,743,000","37,743,000","74,901,000",,"-73,321,000","7,243,000","3,967,000","3,967,000","3,276,000","2,149,000","59,020,000","22,310,000","14,764,000","4,128,000","4,128,000","3,693,000","3,693,000",-,"3,693,000",-,,-,"36,710,000","25,308,000","25,308,000","4,919,000","2,916,000","77,504,000","77,504,000","25,261,000","25,261,000","53,523,000","-1,280,000","102,812,000","77,504,000","40,401,000","8,929,000","106,505,000","40,401,000","29,001,000","24,807,000","4,290,000","4,290,000",,,"840,000","6,225,000","1,679,000",,,,"37,103,000","26,276,000","10,827,000","3,967,000",-,-,"3,853,000",,"3,412,000","2,044,000","1,368,000",,,"16,063,000","1,209,000","1,209,000","1,641,000",,"10,636,000",,,,0,,,,,,,,,,,,,"155,000",-,,,,,-,-,"554,000",,,,,,,,,,-,"155,000",,,,,,
QUALCOMM Incorporated,9/29/2022,"49,014,000","20,724,000","6,382,000","2,773,000",,,"3,609,000","5,643,000","4,175,000","1,468,000","6,341,000","1,625,000","28,290,000","5,168,000","11,770,000",0,"170,000","9,134,000","369,000","-6,602,000",,,,,"8,929,000","31,001,000","11,866,000","6,161,000","4,430,000","3,796,000","1,945,000","1,945,000","499,000","1,446,000","369,000","369,000","3,391,000","19,135,000","13,537,000","13,537,000","1,472,000","3,863,000","18,013,000","18,013,000","195,000","195,000","17,840,000","-22,000","31,550,000","18,013,000","5,623,000","8,858,000","33,495,000","5,623,000","15,482,000","12,709,000","1,121,000","1,121,000",-,-,"221,000","3,329,000","2,791,000",,"1,767,000",,"12,390,000","10,508,000","1,882,000",,"634,000","634,000",,,"144,000",,"144,000",,,"330,000","1,803,000","1,803,000",,,"1,731,000",,,,-,,,,,,,,,,,,,,,,,,,"733,000",,,,,,,,,,,,,,"119,000",,,,,
QUALCOMM Incorporated,9/29/2021,"41,240,000","20,075,000","12,414,000","7,116,000",,,"5,298,000","3,579,000","2,214,000","1,365,000","3,228,000","854,000","21,165,000","4,559,000","10,454,000",0,"172,000","7,997,000","374,000","-5,895,000",,,,,"6,311,000","31,290,000","11,951,000","6,665,000","3,612,000","2,750,000","2,044,000","2,044,000","500,000","1,544,000","612,000","612,000","2,630,000","19,339,000","13,701,000","13,701,000","1,713,000","3,561,000","9,950,000","9,950,000",0,0,"9,822,000","128,000","23,651,000","9,950,000","1,246,000","8,124,000","25,695,000","1,246,000","15,745,000","8,629,000","1,125,000","1,125,000",-,-,"267,000","1,475,000","1,486,000",,"1,642,000",,"8,704,000","7,246,000","1,458,000",,"862,000","862,000",,,"364,000",,"364,000",,,"269,000","1,591,000","1,591,000",,,"3,053,000",,,,0,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,,,,,
QUALCOMM Incorporated,9/29/2020,"35,594,000","18,519,000","11,214,000","6,707,000",,,"4,507,000","4,003,000","2,687,000","1,316,000","2,598,000","704,000","17,075,000","3,711,000","8,845,000",0,"173,000","6,612,000","320,000","-5,134,000",,,,,"4,037,000","29,517,000","8,672,000","5,337,000","2,797,000","2,248,000","500,000","500,000","500,000",-,"568,000","568,000","2,267,000","20,845,000","15,226,000","15,226,000","1,872,000","2,986,000","6,077,000","6,077,000","586,000","586,000","5,284,000","207,000","21,303,000","6,077,000","-1,899,000","9,847,000","21,803,000","-1,899,000","15,726,000","9,019,000","1,131,000","1,131,000",-,-,"94,000","1,155,000","1,349,000",,"1,606,000",,"7,976,000","6,323,000","1,653,000",,"549,000","549,000",,,"761,000",,"761,000",,,"134,000","1,351,000","1,351,000",,,"2,540,000",,,,0,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,,,,,
QUALCOMM Incorporated,9/29/2019,"32,957,000","16,765,000","12,260,000","11,839,000",,,"421,000","2,471,000","1,046,000","1,425,000","1,400,000","634,000","16,192,000","3,081,000","7,648,000",0,"170,000","5,449,000","301,000","-4,567,000",,,,,"3,461,000","28,048,000","8,935,000","4,275,000","1,848,000","1,368,000","2,496,000","2,496,000","499,000","1,997,000","565,000","565,000","1,599,000","19,113,000","13,437,000","13,437,000","2,088,000","2,428,000","4,909,000","4,909,000","343,000","343,000","4,466,000","100,000","18,346,000","4,909,000","-3,545,000","7,830,000","20,842,000","-3,545,000","15,933,000","4,094,000","1,145,000","1,145,000","1,093,000","-47,000","77,000","667,000","656,000",,"1,546,000",,"8,454,000","6,282,000","2,172,000",,"480,000","480,000",,,"1,160,000",,"1,160,000",,,"182,000","1,196,000","1,196,000",,,"2,427,000",,,,0,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-,,,,,
Intuit Inc.,7/30/2022,"27,734,000","5,047,000","3,281,000","2,796,000",,,"485,000","1,048,000","446,000",,,,"22,687,000","1,437,000","2,875,000",0,"79,000","1,012,000","366,000","-1,438,000","98,000",,,,"344,000","11,293,000","3,630,000","949,000","797,000","737,000","583,000","499,000",,-,"1,386,000","1,239,000","84,000","7,663,000","6,957,000","6,415,000","56,000","25,000","16,441,000","16,441,000","3,000","3,000","13,581,000","-60,000","22,856,000","16,441,000","-4,356,000","1,417,000","23,355,000","-4,356,000","7,540,000","4,118,000","281,932","281,932","477,000","-31,000",,,,,"378,000","757,000","20,797,000","13,736,000","7,061,000",,"48,000","8,000","576,000","542,000","625,000","619,000","6,000","626,000","287,000","283,000","11,000","11,000",,,"152,000","11,000","84,000",,0,"17,722,000","14,805,000",,"509,000",,,,,"12,000",,,,,,,,"93,000",,,,,,,,,,,,"52,000",,,,,"431,000","499,000",,,
Intuit Inc.,7/30/2021,"15,516,000","5,157,000","3,870,000","2,562,000",,,"1,308,000","514,000","391,000",,,,"10,359,000","1,160,000","2,500,000",0,"79,000","995,000","350,000","-1,340,000","43,000",,,,"283,000","5,647,000","2,655,000","633,000","632,000","623,000","66,000",-,,-,"1,294,000","1,141,000","101,000","2,992,000","2,414,000","2,034,000",-,"53,000","9,869,000","9,869,000","3,000","3,000","12,296,000","-24,000","11,903,000","9,869,000","1,004,000","2,502,000","11,903,000","1,004,000","2,480,000",-,"273,235","273,235","487,000","-96,000",,,,,"375,000","579,000","8,865,000","5,613,000","3,252,000",,-,-,"530,000","380,000","525,000","525,000",-,"446,000","316,000","122,000","8,000","8,000",,,"1,000","1,000","66,000",,0,"10,545,000","12,951,000",,-,,,,,"9,000",,,,,,,,"123,000",,,,,,,,,,,,"31,000",,,,,"457,000",0,,,
Intuit Inc.,7/30/2020,"10,931,000","7,980,000","7,050,000","6,442,000",,,"608,000","161,000","149,000",,,,"2,951,000","960,000","2,254,000",0,"79,000","963,000","298,000","-1,294,000","19,000",,,,"225,000","5,825,000","3,529,000","314,000","311,000","305,000","1,384,000","1,338,000",,"1,338,000","1,230,000","1,107,000","84,000","2,296,000","2,252,000","2,031,000",-,"42,000","5,106,000","5,106,000","3,000","3,000","10,885,000","-32,000","7,137,000","5,106,000","3,424,000","4,451,000","8,475,000","3,424,000","3,636,000",-,"261,740","261,740","161,000","-12,000",,,,,"372,000","452,000","1,682,000","1,654,000","28,000",,-,-,"482,000","221,000","2,000","2,000",-,"267,000","314,000","90,000","65,000","65,000",,,"3,000","3,000","46,000",,0,"6,179,000","11,929,000",,-,,,,,"6,000",,,,,,,,"12,000",,,,,,,,,,,,"35,000",,,,,"455,000",-,,,
Intuit Inc.,7/30/2019,"6,283,000","3,594,000","2,740,000","2,116,000",,,"624,000","152,000","87,000",,,,"2,689,000","780,000","2,161,000",0,"79,000","950,000","278,000","-1,381,000","13,000",,,,"187,000","2,534,000","1,966,000","281,000","281,000","274,000","50,000","50,000",,-,"1,169,000","1,055,000","46,000","568,000","386,000","386,000",-,"145,000","3,749,000","3,749,000","3,000","3,000","9,621,000","-36,000","4,135,000","3,749,000","2,040,000","1,628,000","4,185,000","2,040,000","436,000",-,"260,180","260,180","90,000","-3,000",,,,,"368,000","421,000","1,709,000","1,655,000","54,000",,-,-,"385,000",-,"37,000","37,000",-,-,"266,000","65,000",-,-,,,-,-,-,,0,"5,772,000","11,611,000",,-,,,,,"7,000",,,,,,,,"65,000",,,,,,,,,,,,"35,000",,,,,"436,000",-,,,
International Business Machines Corporation,12/30/2022,"127,243,000","29,118,000","8,738,000","7,886,000",,,"852,000","14,209,000","6,541,000","7,668,000","1,552,000","2,610,000","98,126,000","8,212,000","21,573,000",0,"213,000","9,643,000",,"-13,361,000","1,617,000",,,-,-,"105,222,000","31,505,000","10,358,000","6,247,000","4,051,000","5,633,000","4,759,000",-,"4,759,000","12,032,000","12,032,000","1,000","73,717,000","48,379,000","46,189,000","90,000","998,000","22,021,000","21,944,000","58,343,000","58,343,000","149,825,000","-16,740,000","68,133,000","21,944,000","-45,189,000","-2,387,000","72,892,000","-45,189,000","54,012,000","43,062,000","2,257,117","906,092","6,774,000","-233,000",,"1,394,000","158,000",,"5,678,000","6,039,000","67,133,000","55,949,000","11,184,000",-,"2,196,000",,"3,481,000","2,190,000","5,791,000","2,292,000","3,499,000","3,064,000",-,,"7,122,000","6,256,000",-,,"4,111,000",,"874,000","11,206,000",,,"169,484,000","1,351,025",,,-,,,,,"10,903,000","-16,740,000",-,"77,000",,,,,"939,000",-,"5,806,000",,"8,236,000","279,000","488,000",,-,"967,000",,"6,486,000",-,,-,"103,000",,,,
International Business Machines Corporation,12/30/2021,"132,001,000","29,539,000","7,250,000","6,650,000",,,"600,000","14,977,000","6,754,000","8,223,000","1,649,000",-,"102,460,000","8,915,000","23,306,000",0,"224,000","10,589,000",,"-14,391,000","206,000",,,"47,000","237,000","113,005,000","33,619,000","10,136,000","6,244,000","3,955,000","7,760,000","6,786,000",-,"6,786,000","12,518,000","12,518,000","1,000","79,386,000","47,379,000","44,917,000","72,000","1,295,000","18,996,000","18,901,000","57,319,000","57,319,000","154,209,000","-23,234,000","63,818,000","18,901,000","-49,253,000","-4,080,000","70,604,000","-49,253,000","55,139,000","45,053,000","2,248,578","898,069","6,972,000","-218,000",,"1,442,000","208,000",,"6,049,000","6,444,000","68,154,000","55,643,000","12,511,000","159,000","2,289,000",,"3,204,000","2,462,000","7,533,000","3,956,000","3,577,000","3,436,000","3,466,000",,"8,294,000","7,370,000","948,000",,"3,892,000",,"974,000","16,480,000",,,"169,392,000","1,350,509",,,-,,,,,"16,121,000",-,"-1,000","95,000",,,,,"793,000","40,000","5,606,000",,"10,060,000","253,000","103,000",,"-1,000","1,097,000",,"6,271,000","159,000",,0,"307,000",,,,
International Business Machines Corporation,12/30/2020,"155,971,000","39,165,000","13,812,000","13,212,000",,,"600,000","18,738,000","7,132,000","11,606,000","1,839,000",-,"116,805,000","14,726,000","37,862,000",0,"381,000","19,684,000",,"-23,136,000","226,000",,,"54,000","227,000","135,245,000","39,869,000","15,056,000","8,209,000","4,908,000","8,540,000","7,183,000",0,"7,183,000","12,833,000","12,833,000","10,287,000","95,376,000","57,929,000","54,355,000","253,000","1,376,000","20,726,000","20,597,000","56,556,000","56,556,000","162,717,000","-29,337,000","74,952,000","20,597,000","-52,815,000","-704,000","82,135,000","-52,815,000","66,469,000","48,326,000","2,242,969","892,653","7,483,000","-351,000",,"1,649,000","190,000",,"9,416,000","8,381,000","73,412,000","59,617,000","13,795,000","172,000","3,301,000",,"3,440,000","3,574,000","9,773,000","5,472,000","4,301,000","4,931,000","2,206,000",,"11,690,000","9,241,000","1,016,000",,"6,847,000",,"1,357,000","20,335,000",,,"169,339,000","1,350,316",,,-,,,,,"19,883,000",-,-,"129,000",,,,,-,"151,000","7,509,000",,"7,848,000","279,000","40,000",,-,"2,107,000",,"5,391,000","172,000",,-,"463,000",,,,
International Business Machines Corporation,12/30/2019,"152,186,000","38,420,000","8,868,000","8,172,000",,,"696,000","23,795,000","7,870,000","15,925,000","1,619,000",-,"113,766,000","15,005,000","37,023,000",0,"365,000","18,577,000",,"-22,018,000","222,000",,,"38,000","321,000","131,201,000","37,701,000","12,092,000","7,735,000","4,896,000","10,177,000","8,797,000","304,000","8,493,000","12,026,000","12,026,000","7,763,000","93,500,000","57,981,000","54,102,000","42,000","1,238,000","20,985,000","20,841,000","55,895,000","55,895,000","162,954,000","-28,597,000","74,943,000","20,841,000","-52,617,000","719,000","83,740,000","-52,617,000","68,158,000","54,727,000","2,237,997","887,110","8,169,000","-299,000",,"1,399,000","220,000",,"9,364,000","8,717,000","73,458,000","58,222,000","15,236,000","184,000","2,839,000",,"3,406,000","3,879,000","9,081,000","5,230,000","3,851,000","5,259,000","2,101,000",,"7,654,000","5,182,000","906,000",,"4,357,000",,"1,380,000","19,141,000",,,"169,413,000","1,350,887",,,"-33,000",,,,,"18,663,000",-,"2,000","144,000",,,,,-,"94,000","8,988,000",,"7,118,000","299,000","506,000",,-,"1,896,000",,"5,212,000","184,000",,-,"141,000",,,,
Sony Group Corporation,3/30/2022,"30,480,967,000","5,535,208,000","2,559,610,000","2,049,636,000","1,824,912,000","224,724,000","509,974,000","1,628,521,000","1,628,521,000",-,"874,007,000","473,070,000","24,945,759,000","1,526,643,000","3,424,300,000",0,"78,160,000","1,953,985,000",,"-1,897,657,000","19,409,907,000","19,141,394,000","19,141,394,000",-,"289,050,000","23,283,718,000","8,760,150,000","1,949,334,000","1,949,334,000","1,843,242,000","2,147,962,000","2,147,962,000",,"2,147,962,000","2,886,361,000","2,886,361,000","1,776,493,000","14,523,568,000","1,423,759,000","1,203,646,000",,"12,148,769,000","7,197,249,000","7,144,471,000","880,365,000","880,365,000","3,760,763,000","1,222,332,000","8,348,117,000","7,144,471,000","4,399,427,000","-3,224,942,000","10,496,079,000","4,399,427,000","3,571,721,000","1,301,972,000","1,261,082","1,237,004",-,-,"177,189,000","163,206,000","533,612,000",,"832,785,000","413,430,000","2,745,044,000","952,895,000","1,792,149,000","268,513,000","106,092,000","106,092,000",,"220,113,000","696,492,000","696,492,000",,"220,113,000",-,"145,940,000","975,115,000","298,589,000",,-,,,-,"254,548,000",,"1,461,053,000","180,042,000","24,078",-,,,-,,,,"254,548,000","1,222,332,000",,"52,778,000",,,,,,,,,,,,,,,,,,-,,-,,-,-,-
Sony Group Corporation,3/30/2021,"26,354,840,000","7,218,744,000","4,640,521,000","1,786,982,000",-,-,"2,853,539,000","1,353,393,000",-,"283,499,000","637,391,000",-,"19,136,096,000","1,362,528,000","2,989,589,000",0,"79,557,000","1,748,961,000",,"-1,627,061,000","14,263,995,000","14,046,196,000",-,"-8,419,000","821,229,000","20,725,185,000","7,815,424,000","2,521,808,000","2,521,808,000","599,569,000","1,392,929,000","1,319,567,000",,"1,319,567,000","2,773,885,000","2,773,885,000","1,126,802,000","12,909,761,000","1,063,553,000","773,294,000",,"11,225,344,000","5,629,655,000","5,575,839,000","880,214,000","880,214,000","3,857,152,000","-524,020,000","6,349,133,000","5,575,839,000","3,752,385,000","-596,680,000","7,668,700,000","3,752,385,000","2,456,482,000","305,879,000","1,261,059","1,239,228",-,-,"105,353,000","133,560,000","398,478,000",,"683,249,000","377,094,000","1,823,454,000","827,149,000","996,305,000","226,218,000","165,406,000",-,,"290,259,000","366,761,000","366,761,000",,"363,621,000","538,540,000","100,728,000","864,890,000","207,470,000",,"1,756,833,000",,,"73,362,000","254,103,000",,"1,486,721,000","124,228,000","21,831","1,069,894,000",,,"226,218,000",,,,"254,103,000","2,672,000",,"53,816,000",,,,,,,,,,,,,,,,,,"8,179,000",,"48,899,000",,"101,305,000","-223,468,000","-404,529,000"
